it's suliban.	スリバン人です
i knew i'd get it back before it would matter.	問題になる前に 返そうと思ってたわ
maleficent thought of how stefan cast away his ring.	マレフィセントはステファンが どうして指輪を投げ捨てたのか
handses!	手よ
you totally look like a battle fairy shazzan!	お前は どう見ても 戦闘妖精シャザーンだろ!?
like a metal surface.	ただ寒い
so the dodgers are tied, 44.	※点数は4対4の同点に...
gotta work.	私はそうです仕事に行くこと。
with image is holding us all back.	私たちの行く手を大きく阻んでいます
let me see.	見せてごらん
you need to keep your personal life in order.	你觉得和政宗有关系的人有多少人符合条件的
big news!	これは... 大ニュースだ!
you're a dumb fuck!	お前はクソ能無しだ!
there's a clock, clock, clock, clock.	チック タック チック タック
yeah, a man in my position travels with the wall, chasing shifts to make a livin'.	そこで壁を作ってた 生活の為に
i wonder, who will god side with?	果たして 神は誰に味方するのか
everything i built would be gone.	私が作り上げたものすべてが 失われてしまう
have you found them?	彼らを見つけたの?
i keep no secrets from my men.	部下に秘密にしてくことはない
come to me. what?	なあ とがめ。 何だ?
stay here!	寄るんじゃない!
swords in the sand, now!	武器を捨てろ 捨てろ!
while giving off something akin to haze...	もやのようなもの発生させながら
oh, i think i became a coffee snob	私はコーヒ通を きどってたわ
and like, i just think that those women, like	私はこう思うの 彼女達が体現しているのは
and on the back of this photo... his alias and present address in nowheresville, suburbia.	この写真の裏に... 別名と現住所がある ノースバビアの郊外だ
now you have to lead us out of it.	今こそあなたが平和へと導くべき時です
somebody just earned their detective badge.	やったな バッジが増える
neo, please, i have a son, jacob, aboard the gnosis.	お願い 息子が グノーシスに乗っているの
21 points is my generation.	21点はマイジェネレーション。
yeah, hold you, i haven't seen sam since high school.	でも言っただろ、 サムには高校のとき以来会ってないって。
ow! sorry.	痛っ。 あっ すいません。
oh, it is?	ああ
the people who disappear into smoke	煙の如く消えし者らは
i said i'm coming, carol!	今、行くよ!
it's here.	こっちよ
do you not think?	そう思わない?
and you're familiar, of course	ご存知の通り抗体は
marriage looks hard.	結婚は大変だ
she shouldn't have to!	— 頼まれる前にすべきでしょ!
why did you come here?	どうしてここに来た?
that way, i'm sure natsurusan will give me an answer.	そうすればきっと 返事をくれるはずです!
the important is that feeling of love. you can't assume someone's life with just feeling.	大事なのは「好き」って気持ち 気持ちだけじゃ背負えない
duke togo.	デューク東郷
excuse me	すみません
look, i'm gonna go now. i'm hanging up! bye.	行かなきゃ 切るわよ バイ
then i special summon it!	特殊召喚できる!
sam, we have to try.	サム 試してみなければ
pillar. mr. pillar	ピラーだ
if he were alive, we could have used him to broker a peace with winterfell and riverrun, which would have given us more time to deal with robert's brothers.	彼が生きていればウインターフェルと リヴァーランとの和平を取り決め ロバートの兄弟に対処する時間を 稼げたはずだが...
and this is kind of how the internet works.	これがインターネットの仕組みなのであり
faster, faster!	速くって!
fortune telling society	占い研もです
live stong....	強く... 生きるドキよ...
it opened!	開かないか...
those.45caliber slugs taken from the scene match perfectly to bullets that we pulled out of a rico witness last year.	我々が期待してたものとは 違うな 現場から発見されたこの45口径の弾丸は 去年 リコ法の証人から取り出された
we already had something ridiculous like that before!	その前に とんでもないもんを いただいちゃってるんだよ!
going to a mosque regularly is actually linked	定期的にモスクに通うと実際
we did it.	やったのよ
i'm absolutely not antirenewables. i love renewables.	私は再生可能エネルギーに反対者ではなく 大好きです
i'm about as happy as a cheetah that's been all tied up.	わ わあい やった ぐるぐる巻きにされたチーターぐらい 幸せよ
after i've seen the outline of my brother's body on the floor... you expect me to forget?	床に書かれた 弟の死体の線を見たのよ
i thought you'd say that.	言うと思った!
you sh...	ー お前を...
and special summon 2 infernity monsters from my graveyard.	インフェルニティ・ビートルを2体を 特殊召喚することができる!
is that nature has provided us a spectacular toolbox.	我々に与えてくれたと分かってきたのです
generosity.	分け合い!
our lord is the very blessing of health... and if anything, illness fears him.	国王は健康に恵まれています 何かあっても 病気は彼を恐れていきます
ryuheikun, eat it.	流平君 頂きなさい。
in collision with glass buildings.	10億羽がガラスの建物に 衝突して死んでいます
nice to meet you too.	ミーツ ユー ミーツ...
